Instelling;fgrfunctie;fte_count;year;quarter;salaryscale
Algemene Zaken;geen FGR;29.302;2013;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1677.498;2013;1;0
Buitenlandse Zaken;geen FGR;2588.873;2013;1;0
Economische Zaken;geen FGR;297.342;2013;1;0
Financien;geen FGR;27214.458;2013;1;0
Hoge Colleges van Staat;geen FGR;1628.173;2013;1;0
Infrastructuur en Milieu;geen FGR;146.885;2013;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;110.347;2013;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;63.15;2013;1;0
Veiligheid en Justitie;geen FGR;6581.809;2013;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;119.435;2013;1;0
Economische Zaken en Klimaat;geen FGR;0;2013;1;0
Infrastructuur en Waterstaat;geen FGR;0;2013;1;0
Justitie en Veiligheid;geen FGR;0;2013;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;1;0
Algemene Zaken;geen FGR;28.904;2013;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1648.468;2013;2;0
Buitenlandse Zaken;geen FGR;2588.282;2013;2;0
Economische Zaken;geen FGR;261.849;2013;2;0
Financien;geen FGR;27275.862;2013;2;0
Hoge Colleges van Staat;geen FGR;1641.153;2013;2;0
Infrastructuur en Milieu;geen FGR;118.901;2013;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;103.68;2013;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;63.43;2013;2;0
Veiligheid en Justitie;geen FGR;6588.612;2013;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;120.102;2013;2;0
Economische Zaken en Klimaat;geen FGR;0;2013;2;0
Infrastructuur en Waterstaat;geen FGR;0;2013;2;0
Justitie en Veiligheid;geen FGR;0;2013;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;2;0
Algemene Zaken;geen FGR;27.46;2013;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1635.527;2013;3;0
Buitenlandse Zaken;geen FGR;2551.713;2013;3;0
Economische Zaken;geen FGR;269.95;2013;3;0
Financien;geen FGR;27653.572;2013;3;0
Hoge Colleges van Staat;geen FGR;1620.955;2013;3;0
Infrastructuur en Milieu;geen FGR;157.616;2013;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;103.342;2013;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;67.862;2013;3;0
Veiligheid en Justitie;geen FGR;6538.576;2013;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;116.857;2013;3;0
Economische Zaken en Klimaat;geen FGR;0;2013;3;0
Infrastructuur en Waterstaat;geen FGR;0;2013;3;0
Justitie en Veiligheid;geen FGR;0;2013;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;3;0
Algemene Zaken;geen FGR;26.544;2013;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1611.395;2013;4;0
Buitenlandse Zaken;geen FGR;2551.958;2013;4;0
Economische Zaken;geen FGR;243.38;2013;4;0
Financien;geen FGR;27888.33;2013;4;0
Hoge Colleges van Staat;geen FGR;1472.188;2013;4;0
Infrastructuur en Milieu;geen FGR;160.824;2013;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;99.863;2013;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;63.612;2013;4;0
Veiligheid en Justitie;geen FGR;6465.407;2013;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;141.025;2013;4;0
Economische Zaken en Klimaat;geen FGR;0;2013;4;0
Infrastructuur en Waterstaat;geen FGR;0;2013;4;0
Justitie en Veiligheid;geen FGR;0;2013;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2013;4;0
Algemene Zaken;geen FGR;25.788;2014;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1595.309;2014;1;0
Buitenlandse Zaken;geen FGR;340.878;2014;1;0
Economische Zaken;geen FGR;254.141;2014;1;0
Financien;geen FGR;27886.238;2014;1;0
Hoge Colleges van Staat;geen FGR;1498.347;2014;1;0
Infrastructuur en Milieu;geen FGR;143.13;2014;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;95.046;2014;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;62.114;2014;1;0
Veiligheid en Justitie;geen FGR;6526.349;2014;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;140.605;2014;1;0
Economische Zaken en Klimaat;geen FGR;0;2014;1;0
Infrastructuur en Waterstaat;geen FGR;0;2014;1;0
Justitie en Veiligheid;geen FGR;0;2014;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;1;0
Algemene Zaken;geen FGR;25.344;2014;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1569.311;2014;2;0
Buitenlandse Zaken;geen FGR;361.56;2014;2;0
Economische Zaken;geen FGR;252.929;2014;2;0
Financien;geen FGR;28041.701;2014;2;0
Hoge Colleges van Staat;geen FGR;1479.434;2014;2;0
Infrastructuur en Milieu;geen FGR;139.374;2014;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;97.391;2014;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;59.003;2014;2;0
Veiligheid en Justitie;geen FGR;6504.478;2014;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;141.75;2014;2;0
Economische Zaken en Klimaat;geen FGR;0;2014;2;0
Infrastructuur en Waterstaat;geen FGR;0;2014;2;0
Justitie en Veiligheid;geen FGR;0;2014;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;2;0
Algemene Zaken;geen FGR;24.744;2014;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1551.221;2014;3;0
Buitenlandse Zaken;geen FGR;336.902;2014;3;0
Economische Zaken;geen FGR;254.139;2014;3;0
Financien;geen FGR;28520.562;2014;3;0
Hoge Colleges van Staat;geen FGR;1469.405;2014;3;0
Infrastructuur en Milieu;geen FGR;120.89;2014;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;110.761;2014;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;55.946;2014;3;0
Veiligheid en Justitie;geen FGR;6534.942;2014;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;93.954;2014;3;0
Economische Zaken en Klimaat;geen FGR;0;2014;3;0
Infrastructuur en Waterstaat;geen FGR;0;2014;3;0
Justitie en Veiligheid;geen FGR;0;2014;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;3;0
Algemene Zaken;geen FGR;26.744;2014;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1613.278;2014;4;0
Buitenlandse Zaken;geen FGR;350.646;2014;4;0
Economische Zaken;geen FGR;249.5;2014;4;0
Financien;geen FGR;27480.483;2014;4;0
Hoge Colleges van Staat;geen FGR;1440.921;2014;4;0
Infrastructuur en Milieu;geen FGR;138.851;2014;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;111.339;2014;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;60.335;2014;4;0
Veiligheid en Justitie;geen FGR;6541.898;2014;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;89.849;2014;4;0
Economische Zaken en Klimaat;geen FGR;0;2014;4;0
Infrastructuur en Waterstaat;geen FGR;0;2014;4;0
Justitie en Veiligheid;geen FGR;0;2014;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2014;4;0
Algemene Zaken;geen FGR;4.925;2015;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1568.551;2015;1;0
Buitenlandse Zaken;geen FGR;354.717;2015;1;0
Economische Zaken;geen FGR;194.654;2015;1;0
Financien;geen FGR;24364.797;2015;1;0
Hoge Colleges van Staat;geen FGR;1439.434;2015;1;0
Infrastructuur en Milieu;geen FGR;101.523;2015;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;105.225;2015;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;52.53;2015;1;0
Veiligheid en Justitie;geen FGR;6469.449;2015;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;83.678;2015;1;0
Economische Zaken en Klimaat;geen FGR;0;2015;1;0
Infrastructuur en Waterstaat;geen FGR;0;2015;1;0
Justitie en Veiligheid;geen FGR;0;2015;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;1;0
Algemene Zaken;geen FGR;2.925;2015;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1553.912;2015;2;0
Buitenlandse Zaken;geen FGR;380.479;2015;2;0
Economische Zaken;geen FGR;193.675;2015;2;0
Financien;geen FGR;24058.451;2015;2;0
Hoge Colleges van Staat;geen FGR;1438.56;2015;2;0
Infrastructuur en Milieu;geen FGR;94.689;2015;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;103.008;2015;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;51.363;2015;2;0
Veiligheid en Justitie;geen FGR;4248.642;2015;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;79.545;2015;2;0
Economische Zaken en Klimaat;geen FGR;0;2015;2;0
Infrastructuur en Waterstaat;geen FGR;0;2015;2;0
Justitie en Veiligheid;geen FGR;0;2015;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;2;0
Algemene Zaken;geen FGR;3.814;2015;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1603.041;2015;3;0
Buitenlandse Zaken;geen FGR;367.358;2015;3;0
Economische Zaken;geen FGR;233.153;2015;3;0
Financien;geen FGR;23943.099;2015;3;0
Hoge Colleges van Staat;geen FGR;1428.15;2015;3;0
Infrastructuur en Milieu;geen FGR;164.912;2015;3;0
Onderwijs, Cultuur en Wetenschap;geen FGR;123.047;2015;3;0
Sociale Zaken en Werkgelegenheid;geen FGR;48.14;2015;3;0
Veiligheid en Justitie;geen FGR;4231.136;2015;3;0
Volksgezondheid, Welzijn en Sport;geen FGR;75.184;2015;3;0
Economische Zaken en Klimaat;geen FGR;0;2015;3;0
Infrastructuur en Waterstaat;geen FGR;0;2015;3;0
Justitie en Veiligheid;geen FGR;0;2015;3;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;3;0
Algemene Zaken;geen FGR;4.592;2015;4;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1653.166;2015;4;0
Buitenlandse Zaken;geen FGR;341.258;2015;4;0
Economische Zaken;geen FGR;217.057;2015;4;0
Financien;geen FGR;23764.662;2015;4;0
Hoge Colleges van Staat;geen FGR;1412.955;2015;4;0
Infrastructuur en Milieu;geen FGR;153.634;2015;4;0
Onderwijs, Cultuur en Wetenschap;geen FGR;112.521;2015;4;0
Sociale Zaken en Werkgelegenheid;geen FGR;54.919;2015;4;0
Veiligheid en Justitie;geen FGR;4107.657;2015;4;0
Volksgezondheid, Welzijn en Sport;geen FGR;70.601;2015;4;0
Economische Zaken en Klimaat;geen FGR;0;2015;4;0
Infrastructuur en Waterstaat;geen FGR;0;2015;4;0
Justitie en Veiligheid;geen FGR;0;2015;4;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2015;4;0
Algemene Zaken;geen FGR;2.528;2016;1;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1668.218;2016;1;0
Buitenlandse Zaken;geen FGR;368.857;2016;1;0
Economische Zaken;geen FGR;187.42;2016;1;0
Financien;geen FGR;22336.915;2016;1;0
Hoge Colleges van Staat;geen FGR;1398.223;2016;1;0
Infrastructuur en Milieu;geen FGR;110.73;2016;1;0
Onderwijs, Cultuur en Wetenschap;geen FGR;104.942;2016;1;0
Sociale Zaken en Werkgelegenheid;geen FGR;82.96;2016;1;0
Veiligheid en Justitie;geen FGR;3836.997;2016;1;0
Volksgezondheid, Welzijn en Sport;geen FGR;59.212;2016;1;0
Economische Zaken en Klimaat;geen FGR;0;2016;1;0
Infrastructuur en Waterstaat;geen FGR;0;2016;1;0
Justitie en Veiligheid;geen FGR;0;2016;1;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2016;1;0
Algemene Zaken;geen FGR;2.528;2016;2;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1660.766;2016;2;0
Buitenlandse Zaken;geen FGR;337.989;2016;2;0
Economische Zaken;geen FGR;179.675;2016;2;0
Financien;geen FGR;20207.165;2016;2;0
Hoge Colleges van Staat;geen FGR;1366.986;2016;2;0
Infrastructuur en Milieu;geen FGR;98.022;2016;2;0
Onderwijs, Cultuur en Wetenschap;geen FGR;105.978;2016;2;0
Sociale Zaken en Werkgelegenheid;geen FGR;245.887;2016;2;0
Veiligheid en Justitie;geen FGR;3831.794;2016;2;0
Volksgezondheid, Welzijn en Sport;geen FGR;59.601;2016;2;0
Economische Zaken en Klimaat;geen FGR;0;2016;2;0
Infrastructuur en Waterstaat;geen FGR;0;2016;2;0
Justitie en Veiligheid;geen FGR;0;2016;2;0
Landbouw, Natuur en Voedselkwaliteit;geen FGR;0;2016;2;0
Algemene Zaken;geen FGR;2.528;2016;3;0
Binnenlandse Zaken en Koninkrijksrelaties;geen FGR;1721.479;2016;3;0
Buitenlandse Zaken;geen FGR;341.869;2016;3;0
