;Instelling;fgrfunctie;20131;20132;20133;20134;20141;20142;20143;20144;20151;20152;20153;20154;20161;20162;20163;20164;20171;20172;20173;20174;20181;20182;20183;20184;20191
1;Algemene Zaken;(Senior) Adviseur schaal 11;17,028;16,028;17,028;18,028;18,028;18,028;17,972;16,916;18,049;18,938;18,938;19,938;15,272;15,272;15,272;15,161;15,161;13,161;15,161;15,161;14,994;16,66;15,66;15,66;15,772
2;Algemene Zaken;(Senior) Adviseur schaal 12;38,817;37,928;38,876;38,876;38,876;39,876;39,876;39,876;39,876;41,876;41,876;44,654;44,52;44,52;44,52;47,464;47,464;47,575;46,575;49,131;48,131;48,183;47,183;49,294;51,878
3;Algemene Zaken;(Senior) Adviseur schaal 13;22,596;23,646;23,646;22,757;22,757;21,757;21,757;20,757;23,702;23,702;22,702;22,646;24,646;23,646;23,646;23,496;21,441;22,441;24,441;24,441;24,441;25,389;24,306;24,473;24,473
4;Algemene Zaken;Adviseur Bedrijfsvoering schaal 08;14,38;14,38;14,78;15,78;14,78;14,78;15,38;17,685;19,06;19,06;19,06;19,06;18,238;17,877;16,877;18,121;18,26;18,371;18,177;17,377;14,072;14,183;12,739;14,195;16,64
5;Algemene Zaken;Adviseur Bedrijfsvoering schaal 09;4,167;6,167;6,167;6,167;6,167;5,167;5,167;6,167;7,167;8,056;7,834;7,945;9,056;8,389;9,389;8,611;7,611;7,611;8,611;8,611;8,361;8,361;10,222;9,222;10,222
6;Algemene Zaken;Adviseur Bedrijfsvoering schaal 10;13,444;13,333;14,944;15,333;15,277;14,333;13,5;13,5;15,389;15,389;15,389;14,611;13,945;13,056;13,612;13,668;13,612;12,779;12,779;14,779;12,001;12,112;11,112;10,112;11,029
7;Algemene Zaken;Adviseur Bedrijfsvoering schaal 11;3,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75;4,594;4,594;4,594;4,761;3,761;4,65;4,65;4,65;4,65;4,65;5,65;5,65;8,317;9,178;9,178;9,178;10,067
8;Algemene Zaken;Commissiesecretaris schaal 13;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;Algemene Zaken;Coördinerend/Special. Adviseur Bedrv S13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2
10;Algemene Zaken;Coördinerend/Special. Adviseur Bedrv S14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
11;Algemene Zaken;Coördinerend/Specialistisch Adviseur S13;3,778;3,778;3,778;3,778;3;3;3;3;3;3;3;3;3;3;4,056;4,056;3,056;3,056;4;4;4;5;5;4;4
12;Algemene Zaken;Coördinerend/Specialistisch Adviseur S14;2,056;2,056;2,056;2,056;2,834;3,834;3,834;3,834;5,278;5,278;5,334;5,779;5,846;5,846;5,846;5,846;5,846;5,846;5,068;5,012;5,012;3,956;3,928;4,928;3,956
13;Algemene Zaken;geen FGR;29,302;28,904;27,46;26,544;25,788;25,344;24,744;26,744;4,925;2,925;3,814;4,592;2,528;2,528;2,528;2,556;2,667;1,778;1,778;1,778;1;1;2;3,133;2,133
14;Algemene Zaken;Managementondersteuner schaal 05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,889;0,889;0,889
15;Algemene Zaken;Managementondersteuner schaal 06;6,278;3,5;3,5;5,444;5,444;5,833;5,833;4,833;4,75;4,75;3,75;3,75;3,75;3,75;3,75;3,75;3,75;4,444;3,444;3,444;3,444;3,5;3,5;3,5;4,444
16;Algemene Zaken;Managementondersteuner schaal 07;17,642;20,42;20,42;18,476;15,809;15,809;14,534;14,534;15,289;15,206;15,025;15,247;15,261;15,261;15,928;15,233;16,469;15,386;14,386;13,386;14,556;14,556;14,917;12,972;13,005
17;Algemene Zaken;Managementondersteuner schaal 08;1,4;1,4;1,4;1,4;3,067;3,067;3,936;3,036;3,036;3,036;1,953;1,953;1,953;2,953;2,953;2,953;1,953;2,258;2,258;2,258;2,258;2,258;2,703;2,648;2,648
18;Algemene Zaken;Managementondersteuner schaal 09;4,111;4,111;4,111;4,111;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;2;2
19;Algemene Zaken;Managementondersteuner schaal 10;2;2;2;2;3,111;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
20;Algemene Zaken;Manager S12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,861;1,861
21;Algemene Zaken;Manager S13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6,889;8,889
22;Algemene Zaken;Manager S14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,9;9,9
23;Algemene Zaken;Manager S15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2
24;Algemene Zaken;Medewerker Administratie schaal 07;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,889;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;Algemene Zaken;Medewerker Administratie schaal 08;2,777;2,777;2,333;2,333;2,333;2,333;2,305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,777;2,777;2,777;2,777;3,666
26;Algemene Zaken;Medewerker Advisering schaal 09;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;4,083;4,083;4,5;4,083;4,083;3,194;3,194;3,194;3,194;3,194;3,416;3,194;3,194;3,194;3,194;3,555;3,416
27;Algemene Zaken;Medewerker Advisering schaal 10;NA;NA;NA;NA;1;1;1,944;3,611;4,428;5,095;5,095;5,103;4,103;4,103;4,103;4,103;4,103;4,103;3,159;3,186;3,492;4,381;4,492;4,492;3,492
28;Algemene Zaken;Medewerker Behandelen en Ontwikkelen S08;2,25;1,667;2,667;2,667;2;2;2;2;2;2;3;3;3;2,889;2,889;2,889;1,889;1,889;1,889;1,889;6,446;6,446;6,446;5,557;5,557
29;Algemene Zaken;Medewerker Behandelen en Ontwikkelen S09;20,691;20,385;19,621;19,621;19,455;19,455;19,455;18,705;19,622;18,622;18,094;17,094;12,677;14,261;14,817;14,095;13,428;13,428;14,595;13,734;9,927;9,941;10,83;11,83;14,107
30;Algemene Zaken;Medewerker Behandelen en Ontwikkelen S10;23,418;23,418;24,418;23,307;26,696;27,696;28,624;27,624;25,18;24,347;23,374;23,33;25,345;24,345;23,789;20,733;22,289;22,289;21,484;21,261;22,095;21,873;19,873;19,039;20,928
31;Algemene Zaken;Medewerker Behandelen en Ontwikkelen S11;7,456;7,456;7,345;7,334;4,639;4,528;4,528;4,528;4,528;4,528;3,639;3,639;3,458;3,569;3,652;3,652;4,542;4,542;4,603;4,603;8,852;10,408;10,347;9,458;8,235
32;Algemene Zaken;Medewerker Communicatie schaal 06;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;Algemene Zaken;Medewerker Communicatie schaal 08;0,8;0,8;0,8;0,8;0,8;0,8;0,6;0,6;0,6;0,6;0,6;0,6;0,667;0,667;0,667;0,667;0,667;0,667;0,667;0,667;0,667;0,667;0,667;0,667;NA
34;Algemene Zaken;Medewerker Facilitair Management S04;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,356;5,3;5,3;4,8;4,8;6,8;6,8;6,8;6,8;6,8;5,8;4,8;4,8
35;Algemene Zaken;Medewerker Facilitair Management S05;NA;NA;NA;NA;NA;NA;NA;NA;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,195;2,417;2,417
36;Algemene Zaken;Medewerker Facilitair Management S07;7,389;6,5;6,139;6,111;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5,778;5,778;5,778;5,778
37;Algemene Zaken;Medewerker ICT/Techniek/Inf.beh./DIV S06;2;2;2;2;2;2;2;2;3,55;3,55;3,55;3,55;3,611;3,611;3,611;3,611;3,611;3,611;3,611;3,611;3,611;3,611;3,611;3,611;3,611
38;Algemene Zaken;Medewerker ICT/Techniek/Inf.beh./DIV S07;3,625;3,625;4,625;4,625;5,069;5,069;5,069;5,069;5,292;5,292;5,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292;4,292
39;Algemene Zaken;Medewerker ICT/Techniek/Inf.beh./DIV S08;2,889;2,889;2,889;2,889;3,889;NA;NA;NA;0,917;0,917;0,917;0,917;0,917;0,917;0,917;0,917;0,917;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889
40;Algemene Zaken;Medewerker Vervoer schaal 04;3;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3
41;Algemene Zaken;Medewerker Verwerken en Behandelen S05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,556;0,556
42;Algemene Zaken;Medewerker Verwerken en Behandelen S07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,5;0,5;0,5;0,5;0,611
43;Algemene Zaken;Middenmanager schaal 12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,861;0,861;0,861;0,861;0,861;0,861;0,861;NA;NA
44;Algemene Zaken;Middenmanager schaal 13;8,944;8,944;8,944;7,944;7,944;7,944;7,944;6,944;8,805;8,805;8,805;9,805;9,805;8,805;8,805;8,805;10,805;10,805;10,805;10,805;10,75;10,75;9,75;1,888;1,888
45;Algemene Zaken;Middenmanager schaal 14;5,761;5,761;5,761;5,761;5,761;5,761;5,761;5,761;5,594;6,594;6,594;6,594;6,622;5,789;6,789;6,789;6,817;6,817;6,817;6,817;8,817;8,956;8,9;1;NA
46;Algemene Zaken;Middenmanager schaal 15;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;2;2;2;1;2;NA;NA
47;Algemene Zaken;Onderzoeksmedewerker schaal 10;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;3;3;3;3;4;5;6,556;5,889;5,889;3,889
48;Algemene Zaken;Operationeel Manager S09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2
49;Algemene Zaken;Operationeel Manager schaal 08;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA
50;Algemene Zaken;Operationeel Manager schaal 09;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,111;1,111;1,111;1;1;1;1;NA;NA
51;Algemene Zaken;Operationeel Manager schaal 10;1,889;1,889;1,889;1,889;1,889;1,889;1,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;0,889;NA;NA;NA;NA;NA;NA
52;Algemene Zaken;Operationeel Manager schaal 11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA
53;Algemene Zaken;Operationeel Manager schaal 12;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;NA
54;Algemene Zaken;Project-/Programmamanager S12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,611;4,611;3,722
55;Algemene Zaken;Project-/Programmamanager S13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;2
56;Algemene Zaken;Project-/Programmamanager S14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1
57;Algemene Zaken;Project-/Programmamanager schaal 12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
58;Algemene Zaken;Project-/Programmamanager schaal 14;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA
59;Algemene Zaken;Project-/Programmamanager schaal 15;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
60;Algemene Zaken;Projectleider schaal 11;NA;NA;NA;NA;NA;NA;NA;NA;0,889;1,778;1,778;1,778;1,778;3,667;2,778;2,778;1,889;1,889;1,889;1,889;NA;NA;NA;NA;NA
61;Algemene Zaken;Projectleider schaal 12;2;2;3;3;3;2;2;2;2,833;2,833;2,833;2,833;2,833;1;1;1;0,889;0,889;0,889;0,889;1,778;3,611;NA;NA;NA
62;Algemene Zaken;Projectleider schaal 13;3,944;3,944;3,944;3,944;3,944;3,833;3,833;3,833;3,889;3,889;3,889;2,889;2,889;3,889;3,889;3,889;4,889;4,889;4,889;5,389;5,389;4,889;NA;NA;NA
63;Algemene Zaken;Senior Adviseur Bedrijfsvoering schaal11;5,056;5,056;5,056;5,056;7,056;8,056;7,056;5,056;4,723;4,723;4,723;4,723;6,778;6,833;6,833;6,833;4,833;4,833;3,833;5,833;5,611;5,611;5,611;3,611;6,305
64;Algemene Zaken;Senior Adviseur Bedrijfsvoering schaal12;11,889;11,889;12,889;11,889;12,833;12,833;12,833;12,833;13,833;13,833;13,611;11,555;16,522;18,189;18,3;18,244;15,244;15,244;16,244;16,244;15,244;14,244;12,5;14,5;15,277
65;Algemene Zaken;Senior Adviseur Bedrijfsvoering schaal13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;NA;NA;1;1;1
66;Algemene Zaken;Senior Medew. Behandelen en Ontwikk. S11;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,922;1,922;1,922;1,922;1,322;1,322;1,833;1,833;NA;NA;NA;0,889;0,889
67;Algemene Zaken;Senior Medew. Behandelen en Ontwikk. S12;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;NA;NA;NA;NA;1;1;1;1;1
68;Algemene Zaken;Senior Medew. Behandelen en Ontwikk. S13;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;Algemene Zaken;Senior Wetenschappelijk Medewerker S13;NA;NA;NA;NA;0,889;0,889;0,889;0,889;0,889;3,611;3,611;3,611;3,611;3,944;3,944;2,889;2,889;2,889;3,889;3,8;4,689;3,889;4,889;4,889;4,889
70;Algemene Zaken;Senior Wetenschappelijk Medewerker S14;6,633;6,633;6,633;6,633;6,633;6,633;6,633;6,633;7,633;7,633;7,744;7,744;7,744;7,444;8,744;8,744;8,744;8,744;7,744;7,744;7,744;6,744;6,744;7,744;7,744
71;Algemene Zaken;Strategisch Adviseur schaal 15;1,111;1,111;1,111;1,111;1,111;1,111;1,111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;Algemene Zaken;Strategisch Adviseur schaal 16;7;6;6,944;6,944;6,944;5,944;7,055;7,055;7,055;7,055;7,055;7,055;7,055;7,055;8,111;8,111;7,167;8,278;8,278;8,056;7,112;8,112;8,112;8,112;8,112
73;Algemene Zaken;Topmanager S16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3
74;Algemene Zaken;Topmanager S17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2
75;Algemene Zaken;Topmanager S18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2,056
76;Algemene Zaken;Topmanager schaal 15;2;2;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;Algemene Zaken;Topmanager schaal 16;3,056;3,056;3,056;3,056;3,056;3,056;3,056;3,056;4,167;4,167;4,167;3,167;4,167;4,167;4,167;4,167;4,167;4,167;3,111;4,111;4,111;4,111;4,111;1,111;1,111
78;Algemene Zaken;Topmanager schaal 17;2,056;2,056;2,056;2,056;1;1;1;1;1;1;2;2;2;2;2;2;2;2,111;2,111;2;2;2;2;NA;NA
79;Algemene Zaken;Topmanager schaal 18;2;2;2;1;2,056;2,056;2,056;2,056;2,111;2,111;2,111;2,111;2,111;2,111;2,111;2,111;2,222;2,222;2,222;2,111;2,111;2,111;2,111;1,111;NA
80;Algemene Zaken;Wetenschappelijk Medewerker schaal 12;15,167;14,278;13,389;14,278;13,389;13,139;13,139;13,139;13,139;10,611;9,417;9,417;9,625;9,736;10,736;10,625;11,625;11,625;12,417;12,417;12,639;11,639;8,639;11,528;11,528
81;Binnenlandse Zaken en Koninkrijksrelaties;(Inrichtings)beveiliger schaal 04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;1;1;1;1;NA;1;1;NA;NA;NA
82;Binnenlandse Zaken en Koninkrijksrelaties;(Inrichtings)beveiliger schaal 05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,778;1,778;0,778;NA;NA
83;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur schaal 11;111,082;111,804;113,721;113,499;113,54;111,851;114,951;115,896;116,962;126,074;174,213;167,757;29,677;27,011;30,678;33,401;36,201;34,09;36,09;34,034;37,089;35,533;37,533;37,533;44,533
84;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur schaal 12;173,039;175,261;174,244;174,444;174,276;176,11;180,888;181,471;182,159;186,826;203,992;214,131;114,928;109,718;117,066;117,995;119,01;96,498;97,374;100,941;96,309;96,808;100,92;100,92;101,875
85;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Adviseur schaal 13;40,252;41,141;42,03;42,03;35,974;35,807;35,973;39,084;40,556;38,445;38,445;34,612;33,723;34,779;39,112;39,084;43,928;44,928;45,039;42,333;42,167;43,167;42,056;42,056;39,723
86;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker schaal 11;124,132;123,287;125,228;130,173;133,035;135,591;151,117;147,235;139,063;139,896;133,547;122,713;110,868;118,479;136,479;145,535;141,951;138,173;138,051;134,218;149,907;152,963;162,925;153,247;146,635
87;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker schaal 12;134,203;136,092;140,203;140,064;143,33;149,797;147,798;155,548;154,762;156,234;156,295;157,245;153,756;161,288;172,787;177,036;177,001;178,223;173,376;174,32;204,678;210,345;206,434;207,218;202,428
88;Binnenlandse Zaken en Koninkrijksrelaties;(Senior) Beleidsmedewerker schaal 13;25,729;26,507;26,84;25,992;25,881;24,97;20,17;19,726;22,726;22,726;21,726;21,17;22,062;30,784;31,726;32,726;39,559;41,559;40,892;38,892;61,081;61,136;61,258;62,258;68,591
89;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 08;44,303;46,414;43,725;46,447;51,103;55,523;52,428;55,428;59,867;64,978;71,617;73,745;70,872;75,872;81,743;89,77;92,492;95,367;92,781;89,844;91,363;84,563;78,146;75,86;59,994
90;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 09;261,926;261,76;265,949;265,999;289,514;290,959;293,764;310,429;307,592;307,952;309,453;315,74;323,735;328,279;341,796;345,631;371,572;391,234;393,257;406,217;414,226;420,476;427,277;413,639;433,428
91;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 10;271,056;275,069;278,902;286,292;347,961;349,115;354,669;359,877;322,699;335,495;354,649;364,354;365,28;378,231;395,673;408,696;396,501;392,196;399,835;412,764;417,683;431,411;442,628;448,77;456,6
92;Binnenlandse Zaken en Koninkrijksrelaties;Adviseur Bedrijfsvoering schaal 11;164,065;161,259;168,314;175,971;184,255;190,845;190,128;203,239;252,032;253,502;264,584;267,611;286,13;301,909;321,7;333,257;317,752;333,435;336,242;342,936;351,158;355,153;372,148;370,412;351,967
93;Binnenlandse Zaken en Koninkrijksrelaties;Ass. Medew. Facilitair Management S01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,694;2,25;5,696;6,363;9,141;9,697;10,003;12,781
94;Binnenlandse Zaken en Koninkrijksrelaties;Ass. Medew. Facilitair Management S03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,05;7,05
95;Binnenlandse Zaken en Koninkrijksrelaties;Assistent Medewerker Administratie S01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,556;0,556;0,611;0,611
