"";"Instelling";"naam";"fgrfunctie";"20131";"20132";"20133";"20134";"20141";"20142";"20143";"20144";"20151";"20152";"20153";"20154";"20161";"20162";"20163";"20164";"20171";"20172";"20173";"20174";"20181";"20182";"20183";"20184";"20191"
"1";"Algemene Zaken";"DPC";"(Senior) Adviseur schaal 11";11,028;11,028;12,028;12,028;12,028;12,028;11,972;10,916;10,249;10,138;10,138;11,138;8,472;8,472;8,472;7,361;7,361;6,361;6,361;6,361;7,194;7,194;6,194;7,194;6,361
"2";"Algemene Zaken";"DPC";"(Senior) Adviseur schaal 12";23,5;23,611;24,559;24,559;24,559;25,559;25,559;24,559;24,559;26,559;26,559;28,337;30,892;29,892;29,892;31,836;32,836;32,836;32,836;35,392;34,392;34,444;34,444;36,333;38,917
"3";"Algemene Zaken";"DPC";"(Senior) Adviseur schaal 13";16,074;16,074;16,074;15,185;15,185;16,185;16,185;16,185;19,13;19,13;18,13;18,074;20,074;19,074;19,074;19,074;17,019;17,019;18,019;18,019;18,019;18,967;17,828;16,995;15,995
"4";"Algemene Zaken";"DPC";"Adviseur Bedrijfsvoering schaal 08";NA;NA;NA;0,944;0,944;0,944;0,944;3,249;3,249;4,138;4,138;4,138;4,138;4,138;4,138;4,138;3,388;3,388;3,527;3,527;NA;NA;NA;NA;NA
"5";"Algemene Zaken";"DPC";"Adviseur Bedrijfsvoering schaal 09";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,75;0,75;0,75;0,75;0,75
"6";"Algemene Zaken";"DPC";"Adviseur Bedrijfsvoering schaal 10";4,278;4,278;3,889;3,889;3,889;3,889;3,889;3,889;4,667;4,667;4,667;3,889;5,056;4,167;4,167;3,445;3,445;3,445;3,445;3,445;1,667;1,667;1,667;1,667;1,778
"7";"Algemene Zaken";"DPC";"Adviseur Bedrijfsvoering schaal 11";2,75;2,75;2,75;2,75;2,75;2,75;2,75;2,75;2,75;2,75;2,75;2,917;1,917;2,806;2,806;2,806;2,806;2,806;2,806;2,806;4,473;4,473;4,473;4,473;4,362
"8";"Algemene Zaken";"DPC";"geen FGR";0,694;0,694;0,694;0,778;0,778;0,778;0,778;0,778;NA;NA;0,889;1,667;0,889;0,889;0,889;1,667;0,778;0,778;0,778;0,778;NA;NA;NA;NA;NA
"9";"Algemene Zaken";"DPC";"Managementondersteuner schaal 06";NA;NA;NA;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;1,944;0,944;0,944;0,944;1;1;1;1,944
"10";"Algemene Zaken";"DPC";"Managementondersteuner schaal 07";2,744;2,744;2,744;0,8;0,8;0,8;0,8;0,8;NA;NA;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;NA
"11";"Algemene Zaken";"DPC";"Manager S12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,861;0,861
"12";"Algemene Zaken";"DPC";"Manager S13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5,889;6,889
"13";"Algemene Zaken";"DPC";"Manager S14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,9;4,9
"14";"Algemene Zaken";"DPC";"Manager S15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"15";"Algemene Zaken";"DPC";"Medewerker Administratie schaal 08";2,777;2,777;2,333;2,333;2,333;2,333;2,305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,777;2,777;2,777;2,777;3,666
"16";"Algemene Zaken";"DPC";"Medewerker Advisering schaal 10";NA;NA;NA;NA;1;1;1,944;3,611;3,611;4,278;4,278;4,278;3,278;3,278;3,278;3,278;3,278;3,278;2,334;2,361;1,667;2,556;2,667;2,667;2,667
"17";"Algemene Zaken";"DPC";"Medewerker Behandelen en Ontwikkelen S08";2,25;1,667;2,667;2,667;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1,889;6,446;6,446;6,446;5,557;5,557
"18";"Algemene Zaken";"DPC";"Medewerker Behandelen en Ontwikkelen S09";19,691;20,385;19,621;19,621;19,455;19,455;19,455;18,705;19,622;18,622;18,094;17,094;12,677;14,261;14,817;14,095;13,428;13,428;14,595;13,734;9,927;9,941;10,83;10,83;12,83
"19";"Algemene Zaken";"DPC";"Medewerker Behandelen en Ontwikkelen S10";12,418;12,418;11,418;11,307;15,696;15,696;15,624;15,624;12,791;12,958;12,985;10,941;12,734;11,734;11,178;11,122;12,678;12,678;11,873;10,65;11,262;12,04;12,04;11,206;12,095
"20";"Algemene Zaken";"DPC";"Medewerker Behandelen en Ontwikkelen S11";7,456;7,456;7,345;7,334;4,639;4,528;4,528;4,528;4,528;4,528;3,639;3,639;3,458;3,569;3,652;3,652;4,542;4,542;3,653;3,653;7,902;9,458;9,458;9,458;8,235
"21";"Algemene Zaken";"DPC";"Middenmanager schaal 12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,861;0,861;0,861;0,861;0,861;0,861;0,861;NA;NA
"22";"Algemene Zaken";"DPC";"Middenmanager schaal 13";5,944;5,944;5,944;5,944;5,944;6,944;6,944;6,944;6,944;6,944;6,944;6,944;6,944;5,944;5,944;5,944;7,944;7,944;7,944;7,944;6,889;6,889;5,889;NA;NA
"23";"Algemene Zaken";"DPC";"Middenmanager schaal 14";3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;3,705;2,733;2,733;3,733;3,733;3,761;3,761;3,761;3,761;4,761;3,9;4,9;NA;NA
"24";"Algemene Zaken";"DPC";"Middenmanager schaal 15";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;NA;NA
"25";"Algemene Zaken";"DPC";"Project-/Programmamanager S12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3,611;3,611;2,722
"26";"Algemene Zaken";"DPC";"Project-/Programmamanager S13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;2
"27";"Algemene Zaken";"DPC";"Projectleider schaal 11";NA;NA;NA;NA;NA;NA;NA;NA;0,889;1,778;1,778;1,778;1,778;3,667;2,778;2,778;1,889;1,889;1,889;1,889;NA;NA;NA;NA;NA
"28";"Algemene Zaken";"DPC";"Projectleider schaal 12";1;1;1;1;1;1;1;1;1,833;1,833;1,833;1,833;1,833;NA;NA;NA;0,889;0,889;0,889;0,889;1,778;3,611;NA;NA;NA
"29";"Algemene Zaken";"DPC";"Projectleider schaal 13";3,944;3,944;3,944;3,944;3,944;3,833;3,833;3,833;3,889;3,889;3,889;2,889;2,889;3,889;3,889;3,889;3,889;3,889;3,889;3,889;3,889;3,889;NA;NA;NA
"30";"Algemene Zaken";"DPC";"Senior Adviseur Bedrijfsvoering schaal11";NA;NA;NA;NA;1;1;1;NA;0,667;0,667;0,667;0,667;0,667;0,833;0,833;0,833;0,833;0,833;0,833;0,833;1,611;1,611;1,611;1,611;4,305
"31";"Algemene Zaken";"DPC";"Senior Adviseur Bedrijfsvoering schaal12";1,889;1,889;1,889;1,889;3,833;3,833;3,833;3,833;3,833;3,833;3,611;3,555;3,777;4,444;4,444;4,444;3,444;3,444;3,444;3,444;3,444;2,444;1,5;1,5;3,444
"32";"Algemene Zaken";"DPC";"Senior Medew. Behandelen en Ontwikk. S11";1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,222;1,922;1,922;1,922;1,922;1,322;1,322;1,833;1,833;NA;NA;NA;NA;NA
"33";"Algemene Zaken";"DPC";"Senior Medew. Behandelen en Ontwikk. S12";1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;1,861;NA;NA;NA;NA;1;1;1;1;NA
"34";"Algemene Zaken";"DPC";"Senior Medew. Behandelen en Ontwikk. S13";NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";"Algemene Zaken";"DPC";"Topmanager S16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"36";"Algemene Zaken";"DPC";"Topmanager schaal 16";2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA
"37";"Algemene Zaken";"kern";"(Senior) Adviseur schaal 11";5;5;5;6;6;6;6;6;6;7;7;7;5;5;5;6;6;5;7;7;6;7,666;7,666;6,666;7,611
"38";"Algemene Zaken";"kern";"(Senior) Adviseur schaal 12";15,317;14,317;14,317;14,317;14,317;14,317;14,317;15,317;15,317;15,317;15,317;16,317;13,628;14,628;14,628;15,628;14,628;14,739;13,739;13,739;13,739;13,739;12,739;12,961;12,961
